stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:OCE71793150,Portbou,,42.4247010,3.15803400,,,1,
StopPoint:OCETrain TER-71793150,Portbou,,42.4247010,3.15803400,,,0,StopArea:OCE71793150
StopArea:OCE80142893,Appenweier,,48.5419000,7.97350000,,,1,
StopPoint:OCETrain TER-80142893,Appenweier,,48.5419000,7.97350000,,,0,StopArea:OCE80142893
StopArea:OCE80142901,Legelshurst,,48.5585000,7.91380000,,,1,
StopPoint:OCETrain TER-80142901,Legelshurst,,48.5585000,7.91380000,,,0,StopArea:OCE80142901
StopArea:OCE80142919,Kork,,48.5702000,7.87440000,,,1,
StopPoint:OCETrain TER-80142919,Kork,,48.5702000,7.87440000,,,0,StopArea:OCE80142919
StopArea:OCE80142927,Kehl,,48.5767000,7.80630000,,,1,
StopPoint:OCECar TER-80142927,Kehl,,48.5767000,7.80630000,,,0,StopArea:OCE80142927
StopPoint:OCETrain TER-80142927,Kehl,,48.5767000,7.80630000,,,0,StopArea:OCE80142927
StopArea:OCE80143099,Offenburg,,48.4765000,7.94680000,,,1,
StopPoint:OCETrain TER-80143099,Offenburg,,48.4765000,7.94680000,,,0,StopArea:OCE80143099
StopArea:OCE80143503,Freiburg (Breisgau) Hbf,,47.9979000,7.84160000,,,1,
StopPoint:OCETrain TER-80143503,Freiburg (Breisgau) Hbf,,47.9979000,7.84160000,,,0,StopArea:OCE80143503
StopArea:OCE80144139,Muellheim (Baden),,47.8100000,7.59960000,,,1,
StopPoint:OCECar TER-80144139,Muellheim (Baden),,47.8100000,7.59960000,,,0,StopArea:OCE80144139
StopPoint:OCETrain TER-80144139,Muellheim (Baden),,47.8100000,7.59960000,,,0,StopArea:OCE80144139
StopArea:OCE80144154,Neuenburg (Baden),,47.8115000,7.56280000,,,1,
StopPoint:OCECar TER-80144154,Neuenburg (Baden),,47.8115000,7.56280000,,,0,StopArea:OCE80144154
StopPoint:OCETrain TER-80144154,Neuenburg (Baden),,47.8115000,7.56280000,,,0,StopArea:OCE80144154
StopArea:OCE80251819,Trèves,,49.7568000,6.65220000,,,1,
StopPoint:OCETrain TER-80251819,Trèves,,49.7568000,6.65220000,,,0,StopArea:OCE80251819
StopArea:OCE80251850,Konz Mitte,,49.7000460,6.57329000,,,1,
StopPoint:OCETrain TER-80251850,Konz Mitte,,49.7000460,6.57329000,,,0,StopArea:OCE80251850
StopArea:OCE80251967,Perl,,49.4731000,6.36930000,,,1,
StopPoint:OCETrain TER-80251967,Perl,,49.4731000,6.36930000,,,0,StopArea:OCE80251967
StopArea:OCE80253914,Sarrebruck,,49.2410000,6.99100000,,,1,
StopPoint:OCECar TER-80253914,Sarrebruck,,49.2410000,6.99100000,,,0,StopArea:OCE80253914
StopPoint:OCETrain TER-80253914,Sarrebruck,,49.2410000,6.99100000,,,0,StopArea:OCE80253914
StopPoint:OCETramTrain-80253914,Sarrebruck,,49.2410000,6.99100000,,,0,StopArea:OCE80253914
StopArea:OCE82001000,Luxembourg,,49.5997220,6.13472200,,,1,
StopPoint:OCECar TER-82001000,Luxembourg,,49.5997220,6.13472200,,,0,StopArea:OCE82001000
StopPoint:OCETrain TER-82001000,Luxembourg,,49.5997220,6.13472200,,,0,StopArea:OCE82001000
StopArea:OCE82002370,Rodange,,49.5509110,5.84364200,,,1,
StopPoint:OCECar TER-82002370,Rodange,,49.5509110,5.84364200,,,0,StopArea:OCE82002370
StopPoint:OCETrain TER-82002370,Rodange,,49.5509110,5.84364200,,,0,StopArea:OCE82002370
StopArea:OCE82002501,Howald,,49.5803200,6.13232000,,,1,
StopPoint:OCETrain TER-82002501,Howald,,49.5803200,6.13232000,,,0,StopArea:OCE82002501
StopArea:OCE82006030,Bettembourg,,49.5161110,6.10111100,,,1,
StopPoint:OCECar TER-82006030,Bettembourg,,49.5161110,6.10111100,,,0,StopArea:OCE82006030
StopPoint:OCETrain TER-82006030,Bettembourg,,49.5161110,6.10111100,,,0,StopArea:OCE82006030
StopArea:OCE82007104,Luxembourg secteur Hollerich,,49.5958600,6.11878000,,,1,
StopPoint:OCETrain TER-82007104,Luxembourg secteur Hollerich,,49.5958600,6.11878000,,,0,StopArea:OCE82007104
StopArea:OCE82007146,Dippach secteur Reckange,,49.5725200,5.99512000,,,1,
StopPoint:OCETrain TER-82007146,Dippach secteur Reckange,,49.5725200,5.99512000,,,0,StopArea:OCE82007146
StopArea:OCE82007187,Bascharage secteur Sanem,,49.5585000,5.92490000,,,1,
StopPoint:OCETrain TER-82007187,Bascharage secteur Sanem,,49.5585000,5.92490000,,,0,StopArea:OCE82007187
StopArea:OCE82009300,Petange,,49.5541900,5.87860000,,,1,
StopPoint:OCETrain TER-82009300,Petange,,49.5541900,5.87860000,,,0,StopArea:OCE82009300
StopArea:OCE83045013,VENTIMIGLIA,,43.7925690,7.61023300,,,1,
StopPoint:OCETrain TER-83045013,VENTIMIGLIA,,43.7925690,7.61023300,,,0,StopArea:OCE83045013
StopArea:OCE85000109,Basel SBB,,47.5474000,7.58956000,,,1,
StopPoint:OCECar TER-85000109,Basel SBB,,47.5474000,7.58956000,,,0,StopArea:OCE85000109
StopPoint:OCETrain TER-85000109,Basel SBB,,47.5474000,7.58956000,,,0,StopArea:OCE85000109
StopArea:OCE85001057,Moutier,,47.2806700,7.38105000,,,1,
StopPoint:OCETrain TER-85001057,Moutier,,47.2806700,7.38105000,,,0,StopArea:OCE85001057
StopArea:OCE85001099,Delemont,,47.3620000,7.35007000,,,1,
StopPoint:OCETrain TER-85001099,Delemont,,47.3620000,7.35007000,,,0,StopArea:OCE85001099
StopArea:OCE85001206,Courtételle,,47.3428200,7.31794000,,,1,
StopPoint:OCETrain TER-85001206,Courtételle,,47.3428200,7.31794000,,,0,StopArea:OCE85001206
StopArea:OCE85001214,Courfaivre,,47.3350800,7.29117000,,,1,
StopPoint:OCETrain TER-85001214,Courfaivre,,47.3350800,7.29117000,,,0,StopArea:OCE85001214
StopArea:OCE85001222,Bassecourt,,47.3366800,7.24685000,,,1,
StopPoint:OCETrain TER-85001222,Bassecourt,,47.3366800,7.24685000,,,0,StopArea:OCE85001222
StopArea:OCE85001230,Glovelier,,47.3352000,7.20931000,,,1,
StopPoint:OCETrain TER-85001230,Glovelier,,47.3352000,7.20931000,,,0,StopArea:OCE85001230
StopArea:OCE85001248,St-Ursanne,,47.3676900,7.16596000,,,1,
StopPoint:OCETrain TER-85001248,St-Ursanne,,47.3676900,7.16596000,,,0,StopArea:OCE85001248
StopArea:OCE85001255,Courgenay,,47.4052200,7.12421000,,,1,
StopPoint:OCETrain TER-85001255,Courgenay,,47.4052200,7.12421000,,,0,StopArea:OCE85001255
StopArea:OCE85001263,Porrentruy,,47.4209100,7.08009000,,,1,
StopPoint:OCECar TER-85001263,Porrentruy,,47.4209100,7.08009000,,,0,StopArea:OCE85001263
StopPoint:OCETrain TER-85001263,Porrentruy,,47.4209100,7.08009000,,,0,StopArea:OCE85001263
StopArea:OCE85001271,Courtemaîche,,47.4558700,7.05539000,,,1,
StopPoint:OCECar TER-85001271,Courtemaîche,,47.4558700,7.05539000,,,0,StopArea:OCE85001271
StopPoint:OCETrain TER-85001271,Courtemaîche,,47.4558700,7.05539000,,,0,StopArea:OCE85001271
StopArea:OCE85001289,Boncourt,,47.4926300,7.01656000,,,1,
StopPoint:OCECar TER-85001289,Boncourt,,47.4926300,7.01656000,,,0,StopArea:OCE85001289
StopPoint:OCETrain TER-85001289,Boncourt,,47.4926300,7.01656000,,,0,StopArea:OCE85001289
StopArea:OCE85001412,Courchavon,,47.4397700,7.05765000,,,1,
